
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.134:3000

✓ Starting...
✓ Ready in 692ms
 GET /principal/financeiro 200 in 36ms (compile: 1656µs, render: 34ms)
 GET /principal/financeiro 200 in 34ms (compile: 1964µs, render: 32ms)
 GET /principal/financeiro 200 in 36ms (compile: 1990µs, render: 34ms)
 GET /principal/financeiro 200 in 36ms (compile: 1941µs, render: 34ms)
 GET /principal/financeiro 200 in 51ms (compile: 1662µs, render: 49ms)
 GET /principal/financeiro 200 in 38ms (compile: 1942µs, render: 36ms)
 GET /principal/financeiro 200 in 63ms (compile: 1640µs, render: 62ms)
 GET /principal/financeiro 200 in 63ms (compile: 1893µs, render: 61ms)
 GET /principal/financeiro 200 in 57ms (compile: 1744µs, render: 56ms)
 GET /principal/financeiro 200 in 32ms (compile: 1924µs, render: 31ms)
 GET /principal/financeiro 200 in 31ms (compile: 1431µs, render: 30ms)
 GET /principal/financeiro 200 in 31ms (compile: 1964µs, render: 29ms)
 GET /principal/financeiro 200 in 32ms (compile: 1447µs, render: 31ms)
 GET /principal/financeiro 200 in 31ms (compile: 1176µs, render: 30ms)
 GET /principal/financeiro 200 in 32ms (compile: 1217µs, render: 31ms)
 GET /principal/financeiro 200 in 30ms (compile: 1203µs, render: 28ms)
 GET /principal/financeiro 200 in 34ms (compile: 1103µs, render: 33ms)
 GET /principal/financeiro 200 in 35ms (compile: 1211µs, render: 34ms)
 GET /principal/financeiro 200 in 38ms (compile: 1509µs, render: 37ms)
 GET /principal/financeiro 200 in 34ms (compile: 1569µs, render: 33ms)
 GET /principal/financeiro 200 in 35ms (compile: 1652µs, render: 33ms)
 GET /principal/financeiro 200 in 41ms (compile: 1561µs, render: 39ms)
 GET /principal/financeiro 200 in 43ms (compile: 1844µs, render: 41ms)
 GET /principal/financeiro 200 in 42ms (compile: 1904µs, render: 41ms)
 GET /principal/financeiro 200 in 35ms (compile: 1984µs, render: 33ms)
 GET /principal/financeiro 200 in 34ms (compile: 1407µs, render: 33ms)
 GET /principal/financeiro 200 in 39ms (compile: 1545µs, render: 37ms)
 GET /principal/financeiro 200 in 39ms (compile: 1684µs, render: 37ms)
 GET /principal/financeiro 200 in 27ms (compile: 2ms, render: 25ms)
 GET /principal/financeiro 200 in 12ms (compile: 1859µs, render: 10ms)
 GET /manifest.webmanifest 200 in 27ms (compile: 23ms, render: 4ms)
 GET /principal/financeiro/resumo 200 in 384ms (compile: 367ms, render: 17ms)
 GET /manifest.webmanifest 200 in 6ms (compile: 1567µs, render: 4ms)
 GET /principal 200 in 68ms (compile: 51ms, render: 17ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1430µs, render: 2ms)
 GET /principal/financeiro 200 in 11ms (compile: 1570µs, render: 9ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1639µs, render: 2ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1396µs, render: 4ms)
 GET /principal/financeiro 200 in 11ms (compile: 1638µs, render: 9ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1230µs, render: 1946µs)
 GET /principal 200 in 10ms (compile: 1640µs, render: 8ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1385µs, render: 2ms)
 GET /principal/financeiro 200 in 11ms (compile: 1560µs, render: 10ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1670µs, render: 1967µs)
✓ Compiled in 56ms
 GET /principal 200 in 67ms (compile: 52ms, render: 15ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1398µs, render: 2ms)
 GET /principal/financeiro 200 in 71ms (compile: 50ms, render: 21ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1695µs, render: 3ms)
 GET /principal/financeiro 200 in 12ms (compile: 1647µs, render: 11ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1167µs, render: 1736µs)
 GET /principal/financeiro 200 in 10ms (compile: 1480µs, render: 9ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1160µs, render: 1727µs)
 GET /principal/financeiro/resumo 200 in 74ms (compile: 57ms, render: 18ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1424µs, render: 2ms)
